grid_id,run_timestamp,as_of_date,reason
AIZ_GRID_122,2026-09-22T04:54:01.350699+05:30,2026-01-04,"IMD download failed: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
AIZ_GRID_057,2026-09-22T04:54:01.357592+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_059,2026-09-22T04:54:01.357604+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_011,2026-09-22T04:54:01.357608+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_069,2026-09-22T04:54:01.357612+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_070,2026-09-22T04:54:01.357615+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_116,2026-09-22T04:54:01.357619+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_040,2026-09-22T04:54:01.357622+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_027,2026-09-22T04:54:01.357625+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_026,2026-09-22T04:54:01.357629+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_036,2026-09-22T04:54:01.357632+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_122,2026-09-22T04:54:01.357635+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_025,2026-09-22T04:54:01.357638+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
AIZ_GRID_032,2026-09-22T04:54:01.357641+05:30,2026-01-04,"No rainfall data available for 2026-01-04 after fetch — excluded, not fabricated."
